freq,na_item,unit,geo\TIME_PERIOD,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,B1GQ,CP_EUR_HAB,TR,9490.0,9190.0,9950.0,9920.0,9520.0,8190.0,8380.0,7660.0,8400.0,10360.0,12330.0,
A,B1GQ,CP_EUR_HAB,UK,32700.0,35780.0,40620.0,37080.0,35730.0,36440.0,37830.0,,,,,
A,B1GQ,CP_MEUR,AL,9641.0,10020.0,10339.2,10835.1,11770.8,13016.9,13917.9,13379.5,15243.1,18068.1,21730.5,25000.7
A,B1GQ,CP_MEUR,AT,321191.7,330113.5,342083.5,355665.6,367294.9,383234.3,395706.8,380317.9,406231.5,449382.2,477837.3,494087.6
A,B1GQ,CP_MEUR,BA,13691.8,13988.3,14791.1,15474.3,16260.5,17354.2,18296.5,17755.9,20014.7,23324.1,25523.8,26194.8
A,B1GQ,CP_MEUR,BE,394616.3,404958.3,415538.0,428467.1,443407.2,459491.8,479444.9,463750.9,506047.2,561309.1,602376.3,620271.8
A,B1GQ,CP_MEUR,BG,42056.2,43024.7,45797.8,48752.1,52501.8,56000.6,61195.4,61856.5,71345.0,86079.5,94526.6,104768.8
A,B1GQ,CP_MEUR,CH,531729.1,548014.5,625532.7,621765.1,615776.3,614304.4,644443.2,650742.6,689174.9,787386.5,826951.8,865619.7
A,B1GQ,CP_MEUR,CY,18040.3,17482.8,17944.2,19013.8,20312.4,21807.8,23400.9,22373.6,25679.9,29645.4,32439.2,34770.2
A,B1GQ,CP_MEUR,CZ,160470.0,158991.5,170527.3,179145.9,196738.7,213505.4,229406.7,220310.6,246012.3,286976.8,319099.1,320741.7
A,B1GQ,CP_MEUR,DE,2866480.0,2984470.0,3087030.0,3195210.0,3333110.0,3434030.0,3537280.0,3450720.0,3682340.0,3989390.0,4219310.0,4328970.0
A,B1GQ,CP_MEUR,DK,259530.9,265635.7,272193.0,282265.1,294355.0,301017.3,308546.2,312118.3,343318.6,380567.4,374173.6,392400.7
A,B1GQ,CP_MEUR,EA19,10012297.2,10254052.0,10616222.3,10904868.5,11318040.7,11694023.9,12084516.3,11565084.6,12560309.4,13690316.7,14584465.5,15145409.2
A,B1GQ,CP_MEUR,EA20,10057096.5,10298332.7,10661709.8,10952442.0,11368245.0,11747059.3,12140284.1,11615802.3,12618699.7,13757926.2,14663651.9,15231314.4
A,B1GQ,CP_MEUR,EE,19163.2,20365.6,21010.9,22189.0,24316.1,26438.5,28472.1,27859.3,31453.3,36300.9,38353.4,39847.7
A,B1GQ,CP_MEUR,EL,178113.9,176071.8,175362.9,174448.2,177378.5,180615.7,185181.2,167539.5,184574.6,207008.7,224686.2,236736.0
A,B1GQ,CP_MEUR,ES,1025652.0,1038949.0,1087112.0,1122967.0,1170024.0,1212276.0,1253710.0,1129214.0,1235474.0,1375863.0,1497761.0,1594330.0
